File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF388FUA	bed narrowPeak	peaks	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF160LMY, ENCFF390DNP	939346	ENCODE Processing Pipeline	cd55d9bc62ec6cabbfc5fc709149bff7		https://www.encodeproject.org/files/ENCFF388FUA/@@download/ENCFF388FUA.bed.gz	hg19				released	s3://encode-public/2018/05/14/687c9c2f-4883-4e01-8212-2fcb25e1481e/ENCFF388FUA.bed.gz				
ENCFF664WUJ	bed narrowPeak	peaks	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF412CXQ	914781	ENCODE Processing Pipeline	f88f3f2a61c6127d562fa03ef5c9fd63		https://www.encodeproject.org/files/ENCFF664WUJ/@@download/ENCFF664WUJ.bed.gz	hg19				archived	s3://encode-public/2016/10/28/c0c709a3-644a-4761-aaa5-b553351a4094/ENCFF664WUJ.bed.gz				
ENCFF646LUA	bed narrowPeak	peaks	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF700EQB, ENCFF992CZQ	919953	ENCODE Processing Pipeline	75c8cee921989e524a4e6d2b78b4ee1a		https://www.encodeproject.org/files/ENCFF646LUA/@@download/ENCFF646LUA.bed.gz	GRCh38				archived	s3://encode-public/2016/10/28/31c8a0d1-881e-4991-aac7-61a8059b374e/ENCFF646LUA.bed.gz				
ENCFF799KWG	bed narrowPeak	peaks	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF307JMF, ENCFF967OQF	944351	ENCODE Processing Pipeline	5e8ff05c70778cfaa16b065582528493		https://www.encodeproject.org/files/ENCFF799KWG/@@download/ENCFF799KWG.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/73d2efeb-9e52-49ce-9998-1b5874ce9f11/ENCFF799KWG.bed.gz				
ENCFF206FZJ	bed narrowPeak	peaks	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF160LMY, ENCFF390DNP	939895	ENCODE Processing Pipeline	5d090699fb77bf315813ef7c9cef0d17		https://www.encodeproject.org/files/ENCFF206FZJ/@@download/ENCFF206FZJ.bed.gz	hg19				archived	s3://encode-public/2017/09/19/67be1726-34fe-4a08-806b-f681dff1fb9e/ENCFF206FZJ.bed.gz				
ENCFF919FUV	bed narrowPeak	peaks	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF967OQF, ENCFF976DGL	776994	ENCODE Processing Pipeline	2d818444c633620b9be329c4efff6e2d		https://www.encodeproject.org/files/ENCFF919FUV/@@download/ENCFF919FUV.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/458d8608-669e-47b9-ae9d-64b9e468dd6f/ENCFF919FUV.bed.gz				
ENCFF365IGK	bed narrowPeak	peaks	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF330KKF, ENCFF390DNP	775504	ENCODE Processing Pipeline	7c232fe97ffd00408a8222b4f0e782d0		https://www.encodeproject.org/files/ENCFF365IGK/@@download/ENCFF365IGK.bed.gz	hg19				released	s3://encode-public/2018/05/14/a874ef02-1770-4f71-bb5d-911a11c4221d/ENCFF365IGK.bed.gz				
ENCFF401NSY	bed narrowPeak	peaks	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF083VJX, ENCFF163ZHO	755648	ENCODE Processing Pipeline	5dc8c43b1a0ef6ee92b1170a91522bec		https://www.encodeproject.org/files/ENCFF401NSY/@@download/ENCFF401NSY.bed.gz	hg19				archived	s3://encode-public/2016/10/28/e9262576-2444-4be4-9a67-ebcf0abf84f7/ENCFF401NSY.bed.gz				
ENCFF701RGI	bed narrowPeak	peaks	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF904MRP, ENCFF992CZQ	758980	ENCODE Processing Pipeline	1318cb98c4ede41a442e0d79aee99af2		https://www.encodeproject.org/files/ENCFF701RGI/@@download/ENCFF701RGI.bed.gz	GRCh38				archived	s3://encode-public/2016/10/28/370a6eb0-140e-4afa-8917-347bcedd126c/ENCFF701RGI.bed.gz				
ENCFF784TVL	bed narrowPeak	peaks	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF967OQF, ENCFF976DGL	779167	ENCODE Processing Pipeline	304b7dc9654d80435d17d37410a078fd		https://www.encodeproject.org/files/ENCFF784TVL/@@download/ENCFF784TVL.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/a7da1299-b743-4053-b07a-6c02be195600/ENCFF784TVL.bed.gz				
ENCFF736ACF	bed narrowPeak	peaks	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF330KKF, ENCFF390DNP	776125	ENCODE Processing Pipeline	a51f8695598f4e8a4c9b2091803fae51		https://www.encodeproject.org/files/ENCFF736ACF/@@download/ENCFF736ACF.bed.gz	hg19				archived	s3://encode-public/2017/09/19/a50b3d47-a38d-4ea6-ab07-c848da665bdd/ENCFF736ACF.bed.gz				
ENCFF852OUW	bed narrowPeak	peaks	ENCSR809LCE	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF176KOY	3440051	John Stamatoyannopoulos, UW	461aeb22ba21741ed49be520e6c5417f		https://www.encodeproject.org/files/ENCFF852OUW/@@download/ENCFF852OUW.bed.gz	hg19				archived	s3://encode-public/2015/10/30/bc8f6c78-5312-4505-92de-6249a26f36b8/ENCFF852OUW.bed.gz				
ENCFF695PHQ	bed narrowPeak	peaks	ENCSR809LCE	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF360AJQ, ENCFF967OQF	2533974	ENCODE Processing Pipeline	1b43b5236db3b076bc709a3d2e5dafdb		https://www.encodeproject.org/files/ENCFF695PHQ/@@download/ENCFF695PHQ.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/a412ae8b-afeb-4723-aab5-099af0f59f51/ENCFF695PHQ.bed.gz				
ENCFF520MND	bed narrowPeak	peaks	ENCSR809LCE	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF008XFW, ENCFF390DNP	2531659	ENCODE Processing Pipeline	150883936e73b3a6620adeacf985c4fb		https://www.encodeproject.org/files/ENCFF520MND/@@download/ENCFF520MND.bed.gz	hg19				released	s3://encode-public/2018/05/14/b0f31883-6cb9-4faf-a91f-c35faaab59ee/ENCFF520MND.bed.gz				
ENCFF316AXF	bed narrowPeak	peaks	ENCSR809LCE	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF163ZHO, ENCFF371PZW	2359017	ENCODE Processing Pipeline	673b58656bc2cf0fa764dad06a9e63f6		https://www.encodeproject.org/files/ENCFF316AXF/@@download/ENCFF316AXF.bed.gz	hg19				archived	s3://encode-public/2016/10/05/a819ea87-bfea-4d52-be1f-b8f351159421/ENCFF316AXF.bed.gz				
ENCFF879CGC	bed narrowPeak	peaks	ENCSR809LCE	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF498EKE, ENCFF992CZQ	2367942	ENCODE Processing Pipeline	c690c3e144574b68521a956c74bcd28e		https://www.encodeproject.org/files/ENCFF879CGC/@@download/ENCFF879CGC.bed.gz	GRCh38				archived	s3://encode-public/2016/10/18/5c87f371-6368-452a-8f91-1179d1220b48/ENCFF879CGC.bed.gz				
ENCFF401BPQ	bed narrowPeak	peaks	ENCSR809LCE	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF360AJQ, ENCFF967OQF	2537819	ENCODE Processing Pipeline	7070bd674f226cc7baedf26cff16c9e5		https://www.encodeproject.org/files/ENCFF401BPQ/@@download/ENCFF401BPQ.bed.gz	GRCh38				archived	s3://encode-public/2017/08/24/03420b20-8690-4cec-affa-abd3e2b7c957/ENCFF401BPQ.bed.gz				
ENCFF080POQ	bed narrowPeak	peaks	ENCSR809LCE	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF008XFW, ENCFF390DNP	2531441	ENCODE Processing Pipeline	78803e4ed63753346afae3f4a7e3ce55		https://www.encodeproject.org/files/ENCFF080POQ/@@download/ENCFF080POQ.bed.gz	hg19				archived	s3://encode-public/2017/09/06/8f1b6e63-04b9-4f31-8cb8-916ab3199d98/ENCFF080POQ.bed.gz				
ENCFF698AUI	bed narrowPeak	peaks	ENCSR020LUD	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF448IDX, ENCFF967OQF	2003297	ENCODE Processing Pipeline	dc69b23c30ca17a2659fc7eb7c79a900		https://www.encodeproject.org/files/ENCFF698AUI/@@download/ENCFF698AUI.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/2f0e0d09-5451-4142-808e-591b4f57b88b/ENCFF698AUI.bed.gz				
ENCFF663INK	bed narrowPeak	peaks	ENCSR020LUD	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF494EYX	1993092	ENCODE Processing Pipeline	b35fa37f7a3dcc8c1f70a586346464ea		https://www.encodeproject.org/files/ENCFF663INK/@@download/ENCFF663INK.bed.gz	hg19				released	s3://encode-public/2018/05/14/1b8b8cec-9f31-4d2b-82d7-3d2112e81d4a/ENCFF663INK.bed.gz				
ENCFF170HDL	bed narrowPeak	peaks	ENCSR020LUD	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF448IDX, ENCFF967OQF	2007182	ENCODE Processing Pipeline	549c3d41b9e3359aadcd903741c66b0c		https://www.encodeproject.org/files/ENCFF170HDL/@@download/ENCFF170HDL.bed.gz	GRCh38				archived	s3://encode-public/2017/11/30/ece23f27-a9f9-4d0a-9d8e-0ed8c5cb0ad1/ENCFF170HDL.bed.gz				
ENCFF134WKG	bed narrowPeak	peaks	ENCSR020LUD	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF494EYX	1992508	ENCODE Processing Pipeline	df0dad11f375ccac60fbb42de2e8e5cc		https://www.encodeproject.org/files/ENCFF134WKG/@@download/ENCFF134WKG.bed.gz	hg19				archived	s3://encode-public/2017/12/06/9bc30545-b326-4f84-8361-5ffd30b77e7b/ENCFF134WKG.bed.gz				
ENCFF333XKC	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF037MBH, ENCFF967OQF	1272778	ENCODE Processing Pipeline	518fa0a1231c52a1d9024b8f3105fca1		https://www.encodeproject.org/files/ENCFF333XKC/@@download/ENCFF333XKC.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/7010fc02-84a1-4721-9d55-be046219cbed/ENCFF333XKC.bed.gz				
ENCFF171LSI	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF738QWP	1269388	ENCODE Processing Pipeline	6f9764e3a3500fe72231a93270e5c93f		https://www.encodeproject.org/files/ENCFF171LSI/@@download/ENCFF171LSI.bed.gz	hg19				released	s3://encode-public/2018/05/14/c22a9230-a7a6-4040-bbb5-68d71c0dd1b5/ENCFF171LSI.bed.gz				
ENCFF918ICP	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF444OTE	1055875	ENCODE Processing Pipeline	c4db79ceb431c9ab5dfe42f3a1f4995a		https://www.encodeproject.org/files/ENCFF918ICP/@@download/ENCFF918ICP.bed.gz	hg19				archived	s3://encode-public/2016/10/28/c71dcbee-9549-4cbc-aa01-ba1804b7259a/ENCFF918ICP.bed.gz				
ENCFF559VIU	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF903LJG, ENCFF992CZQ	1061218	ENCODE Processing Pipeline	599ab6851f1453fa2ed1034b13256b53		https://www.encodeproject.org/files/ENCFF559VIU/@@download/ENCFF559VIU.bed.gz	GRCh38				archived	s3://encode-public/2016/10/28/920c2a58-2ddd-49e8-8226-1e0c998b2d3f/ENCFF559VIU.bed.gz				
ENCFF182JTX	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF940PBS	643470	ENCODE Processing Pipeline	6ce9636d73d9230cbb192681bd208275		https://www.encodeproject.org/files/ENCFF182JTX/@@download/ENCFF182JTX.bed.gz	hg19				archived	s3://encode-public/2016/10/28/d64cff20-8f6c-4f40-aa2e-c42c0f5eda2a/ENCFF182JTX.bed.gz				
ENCFF971VBF	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF387ZXJ, ENCFF992CZQ	647261	ENCODE Processing Pipeline	ab31878fda9d07524637756a38a6ea51		https://www.encodeproject.org/files/ENCFF971VBF/@@download/ENCFF971VBF.bed.gz	GRCh38				archived	s3://encode-public/2016/10/28/0f775665-5014-4e3c-b598-fd3fffa8b443/ENCFF971VBF.bed.gz				
ENCFF408CBX	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF037MBH, ENCFF967OQF	1276091	ENCODE Processing Pipeline	ff2f2341314bc3b10aedb970fce7a282		https://www.encodeproject.org/files/ENCFF408CBX/@@download/ENCFF408CBX.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/e9215406-4fe0-46fc-b995-1c512f6cf095/ENCFF408CBX.bed.gz				
ENCFF491YQL	bed narrowPeak	peaks	ENCSR271QSV	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF738QWP	1270665	ENCODE Processing Pipeline	25f07b0af6f477398829d1a21e4c9ab0		https://www.encodeproject.org/files/ENCFF491YQL/@@download/ENCFF491YQL.bed.gz	hg19				archived	s3://encode-public/2017/09/19/4bec3673-0efd-4948-b040-6492c6d51509/ENCFF491YQL.bed.gz				
ENCFF925JSO	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF298CKE	4254263	John Stamatoyannopoulos, UW	4d7f8189f18ae067efdb3b83a1d219e6		https://www.encodeproject.org/files/ENCFF925JSO/@@download/ENCFF925JSO.bed.gz	hg19				archived	s3://encode-public/2015/10/30/a9a5b270-fef2-4361-8c55-9ad7f1d3bdd1/ENCFF925JSO.bed.gz				
ENCFF778MGI	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				2							ENCFF956ITZ	2206677	John Stamatoyannopoulos, UW	1ce58bcaf193b11f9291b61a0d24c793		https://www.encodeproject.org/files/ENCFF778MGI/@@download/ENCFF778MGI.bed.gz	hg19				archived	s3://encode-public/2015/10/30/7f3788d4-dacd-4906-b451-87f2ee0b28e8/ENCFF778MGI.bed.gz				
ENCFF405IIV	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF156AXX, ENCFF967OQF	4719987	ENCODE Processing Pipeline	c9a8dabf74827d2f27977520d6861abb		https://www.encodeproject.org/files/ENCFF405IIV/@@download/ENCFF405IIV.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/a14afc5b-f43a-45ef-8533-0a85fd8676cc/ENCFF405IIV.bed.gz				
ENCFF392JHV	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				2							ENCFF191RYF, ENCFF967OQF	1763368	ENCODE Processing Pipeline	dd7756eeddbb9a545a2ca8614a36a660		https://www.encodeproject.org/files/ENCFF392JHV/@@download/ENCFF392JHV.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/43d5fb05-0c18-4cb9-a4a5-8098eef39ee2/ENCFF392JHV.bed.gz				
ENCFF533MFM	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				1							ENCFF390DNP, ENCFF691UDN	4713178	ENCODE Processing Pipeline	4b61daa0f77bfcb77f96eed35ad1d956		https://www.encodeproject.org/files/ENCFF533MFM/@@download/ENCFF533MFM.bed.gz	hg19				released	s3://encode-public/2018/05/14/fc6af8c2-3786-4b80-89a7-5f65682582df/ENCFF533MFM.bed.gz				
ENCFF855CMV	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	Homo sapiens											DNA					False	2016-05-09	ENCODE				2							ENCFF390DNP, ENCFF717BDD	1762225	ENCODE Processing Pipeline	a42423039e2a9dda390a6807f2e50750		https://www.encodeproject.org/files/ENCFF855CMV/@@download/ENCFF855CMV.bed.gz	hg19				released	s3://encode-public/2018/05/14/ff85d2c1-57fc-4ddc-ae28-d5a6a3ecb526/ENCFF855CMV.bed.gz				
