File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF789PQN	bigWig	read-depth normalized signal	ENCSR270LZE	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF929NGG	578469739	ENCODE Processing Pipeline	46ca2f7c8b7cdb60e210f181de1a552d		https://www.encodeproject.org/files/ENCFF789PQN/@@download/ENCFF789PQN.bigWig	GRCh38				released	s3://encode-public/2017/09/18/76031726-24bf-4c96-a94d-9ea37085cf92/ENCFF789PQN.bigWig	low spot score, low read depth			
ENCFF740QOO	bigWig	read-depth normalized signal	ENCSR270LZE	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF032KCG	578885450	ENCODE Processing Pipeline	0f80d3f82471883de8564a04bd6ca439		https://www.encodeproject.org/files/ENCFF740QOO/@@download/ENCFF740QOO.bigWig	hg19				released	s3://encode-public/2017/09/19/5a5b6f9a-4ee7-4176-8b48-bac040edddbd/ENCFF740QOO.bigWig	low spot score, low read depth			
ENCFF069WLL	bigWig	read-depth normalized signal	ENCSR580OAH	DNase-seq	UBERON:0001224	renal pelvis	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF451NJI	587563527	ENCODE Processing Pipeline	5ddb37a6a9d2e6e10b8cdb82a251c0e8		https://www.encodeproject.org/files/ENCFF069WLL/@@download/ENCFF069WLL.bigWig	GRCh38				released	s3://encode-public/2017/09/18/19e6222d-90b7-4b18-81ab-8959858fcf7e/ENCFF069WLL.bigWig	low read depth			
ENCFF217PAN	bigWig	read-depth normalized signal	ENCSR580OAH	DNase-seq	UBERON:0001224	renal pelvis	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF738ENM	592241597	ENCODE Processing Pipeline	203ea506116b9998b7a8ad859755da7b		https://www.encodeproject.org/files/ENCFF217PAN/@@download/ENCFF217PAN.bigWig	hg19				released	s3://encode-public/2017/09/19/ca9080d3-b3b7-401b-888b-f7b7deaa5e67/ENCFF217PAN.bigWig	low read depth			
ENCFF005DPL	bigWig	read-depth normalized signal	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF976DGL	554648471	ENCODE Processing Pipeline	9e6db173c7cb5f8b540bd3e4d1afc8a2		https://www.encodeproject.org/files/ENCFF005DPL/@@download/ENCFF005DPL.bigWig	GRCh38				released	s3://encode-public/2017/09/18/c36a1a81-bd20-42c9-890c-b16667d144ab/ENCFF005DPL.bigWig	low read depth			
ENCFF457URD	bigWig	read-depth normalized signal	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF330KKF	556600682	ENCODE Processing Pipeline	73276125225bdbf5f23754518dff1267		https://www.encodeproject.org/files/ENCFF457URD/@@download/ENCFF457URD.bigWig	hg19				released	s3://encode-public/2017/09/19/fdcd86c7-1111-4932-a406-a78cea7ea802/ENCFF457URD.bigWig	low read depth			
ENCFF893ONO	bigWig	read-depth normalized signal	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF307JMF	597794899	ENCODE Processing Pipeline	aa70e7798e717b15fa383b372c8e9666		https://www.encodeproject.org/files/ENCFF893ONO/@@download/ENCFF893ONO.bigWig	GRCh38				released	s3://encode-public/2017/09/18/c31bd5c3-03e2-4ba9-9f34-63fb2a553513/ENCFF893ONO.bigWig	low read depth			
ENCFF529QEE	bigWig	read-depth normalized signal	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF160LMY	592057624	ENCODE Processing Pipeline	440f9b216819ab333b65bc98d1c3dbf2		https://www.encodeproject.org/files/ENCFF529QEE/@@download/ENCFF529QEE.bigWig	hg19				released	s3://encode-public/2017/09/19/030b6798-45c3-4a64-b6be-dd6f7e398efc/ENCFF529QEE.bigWig	low read depth			
ENCFF428DTK	bigWig	read-depth normalized signal	ENCSR309YDN	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF568VTU	589629693	ENCODE Processing Pipeline	c21b7e0bfd91351f30f4b5b920fd68ae		https://www.encodeproject.org/files/ENCFF428DTK/@@download/ENCFF428DTK.bigWig	GRCh38				released	s3://encode-public/2017/09/18/2f993cda-da61-437b-bfe1-e26543b6335b/ENCFF428DTK.bigWig	low read depth			
ENCFF434DXD	bigWig	read-depth normalized signal	ENCSR309YDN	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF833XQA	589980407	ENCODE Processing Pipeline	d465260b04533160c3096ddf720e2f87		https://www.encodeproject.org/files/ENCFF434DXD/@@download/ENCFF434DXD.bigWig	hg19				released	s3://encode-public/2017/09/19/cf5ba4db-8142-4779-81da-1ded934eca20/ENCFF434DXD.bigWig	low read depth			
ENCFF001DJR	bigWig	raw signal	ENCSR000EOG	DNase-seq	CL:1001568	pulmonary artery endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2011-10-19	ENCODE				1							ENCFF001DJS	206684028	John Stamatoyannopoulos, UW	598dbea4e72723d0de3519637e2024b0		https://www.encodeproject.org/files/ENCFF001DJR/@@download/ENCFF001DJR.bigWig	hg19				archived	s3://encode-public/2011/01/11/6b6c5b63-1795-40fd-9a60-7edd7f5c5953/ENCFF001DJR.bigWig	low spot score, low read depth			
ENCFF719ZEX	bigWig	read-depth normalized signal	ENCSR000EOG	DNase-seq	CL:1001568	pulmonary artery endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2011-10-19	ENCODE				1							ENCFF032ZHQ	596230502	ENCODE Processing Pipeline	36d412aa6398dccba1467b30f9c087df		https://www.encodeproject.org/files/ENCFF719ZEX/@@download/ENCFF719ZEX.bigWig	GRCh38				released	s3://encode-public/2017/08/23/927d9a1a-99c6-406a-b6ec-8802bf3efe00/ENCFF719ZEX.bigWig	low spot score, low read depth			
ENCFF135GGL	bigWig	read-depth normalized signal	ENCSR000EOG	DNase-seq	CL:1001568	pulmonary artery endothelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2011-10-19	ENCODE				1							ENCFF474RRG	594614975	ENCODE Processing Pipeline	b3cf2478d6213be5fe199ddc1b1d1cb9		https://www.encodeproject.org/files/ENCFF135GGL/@@download/ENCFF135GGL.bigWig	hg19				released	s3://encode-public/2017/09/05/b5735d1b-f8b8-41a0-929c-8950008550a6/ENCFF135GGL.bigWig	low spot score, low read depth			
ENCFF545YJA	bigWig	read-depth normalized signal	ENCSR698CUE	DNase-seq	UBERON:0002324	muscle of back	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF742VVC	573939742	ENCODE Processing Pipeline	47ece57a8061807694af01d15e3fae58		https://www.encodeproject.org/files/ENCFF545YJA/@@download/ENCFF545YJA.bigWig	GRCh38				released	s3://encode-public/2017/09/18/8cb89dd1-d0c2-4f73-ba57-7e3cd2ef4288/ENCFF545YJA.bigWig	low read depth			
ENCFF296QDC	bigWig	read-depth normalized signal	ENCSR698CUE	DNase-seq	UBERON:0002324	muscle of back	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF429OVI	574666919	ENCODE Processing Pipeline	89eeff98da27111f38107220d2c9696d		https://www.encodeproject.org/files/ENCFF296QDC/@@download/ENCFF296QDC.bigWig	hg19				released	s3://encode-public/2017/09/19/725d0a1c-bcaa-47f2-b5f6-045e6c15407f/ENCFF296QDC.bigWig	low read depth			
ENCFF001DLO	bigWig	raw signal	ENCSR000EOL	DNase-seq	CL:0002518	kidney epithelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF001DLG	149601530	John Stamatoyannopoulos, UW	0727f75fee1564d3ff0eaf7e22d3df01		https://www.encodeproject.org/files/ENCFF001DLO/@@download/ENCFF001DLO.bigWig	hg19				archived	s3://encode-public/2011/01/11/da1475a7-bba0-4c5a-888c-def43b17c471/ENCFF001DLO.bigWig	low read depth			
ENCFF001DLP	bigWig	raw signal	ENCSR000EOL	DNase-seq	CL:0002518	kidney epithelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF001DLK	173781887	John Stamatoyannopoulos, UW	08332656a432753b1d6157909d37773b		https://www.encodeproject.org/files/ENCFF001DLP/@@download/ENCFF001DLP.bigWig	hg19				archived	s3://encode-public/2011/01/11/0244271f-c00b-4528-86d9-709a0554806e/ENCFF001DLP.bigWig	low read depth			
ENCFF221IPJ	bigWig	read-depth normalized signal	ENCSR000EOL	DNase-seq	CL:0002518	kidney epithelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF342XZT	555289591	ENCODE Processing Pipeline	f8be52e857d2157ee23da4d63bedc7fe		https://www.encodeproject.org/files/ENCFF221IPJ/@@download/ENCFF221IPJ.bigWig	GRCh38				released	s3://encode-public/2017/08/23/bf5920b6-ffe9-45cc-a724-9cb36a0a8ed7/ENCFF221IPJ.bigWig	low read depth			
ENCFF333CZG	bigWig	read-depth normalized signal	ENCSR000EOL	DNase-seq	CL:0002518	kidney epithelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF034QAX	570228108	ENCODE Processing Pipeline	bbd354a444f41daf1d0fefd8bf88bb74		https://www.encodeproject.org/files/ENCFF333CZG/@@download/ENCFF333CZG.bigWig	GRCh38				released	s3://encode-public/2017/08/23/01333571-f0aa-455b-8e1f-4dee1caab5b3/ENCFF333CZG.bigWig	low read depth			
ENCFF223SBV	bigWig	read-depth normalized signal	ENCSR000EOL	DNase-seq	CL:0002518	kidney epithelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				1							ENCFF770UDF	553316859	ENCODE Processing Pipeline	a9c6d546c85311cd2faa27bfdadec92f		https://www.encodeproject.org/files/ENCFF223SBV/@@download/ENCFF223SBV.bigWig	hg19				released	s3://encode-public/2017/09/05/50d4482d-56c1-4478-994a-edd23d864d3d/ENCFF223SBV.bigWig	low read depth			
ENCFF028CWA	bigWig	read-depth normalized signal	ENCSR000EOL	DNase-seq	CL:0002518	kidney epithelial cell	primary cell	Homo sapiens											DNA		see document	see document		False	2010-12-16	ENCODE				2							ENCFF801VVX	565288139	ENCODE Processing Pipeline	4ee649e5690b0850ddeecdf48f51e166		https://www.encodeproject.org/files/ENCFF028CWA/@@download/ENCFF028CWA.bigWig	hg19				released	s3://encode-public/2017/09/05/3c72867e-d2d6-4f39-b4ac-cdbe916047d4/ENCFF028CWA.bigWig	low read depth			
ENCFF359LKO	bigWig	read-depth normalized signal	ENCSR457ILW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF620SQA	553062584	ENCODE Processing Pipeline	79be5119dbedc8addfd8099ebf107e09		https://www.encodeproject.org/files/ENCFF359LKO/@@download/ENCFF359LKO.bigWig	GRCh38				released	s3://encode-public/2017/09/18/ad90786d-500e-43d4-8c65-d0aa4c50f6c7/ENCFF359LKO.bigWig	low read depth			
ENCFF670EQG	bigWig	read-depth normalized signal	ENCSR457ILW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF439UNT	549153103	ENCODE Processing Pipeline	0b283be52a52de450aa94ebc96f89393		https://www.encodeproject.org/files/ENCFF670EQG/@@download/ENCFF670EQG.bigWig	hg19				released	s3://encode-public/2017/09/19/547b912b-e600-4979-afbd-bce94eac55c8/ENCFF670EQG.bigWig	low read depth			
ENCFF001ATP	bigWig	raw signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				1							ENCFF001ATR	276596245	John Stamatoyannopoulos, UW	4fec595d8dcc9cc50ebfdcbc4f13cade		https://www.encodeproject.org/files/ENCFF001ATP/@@download/ENCFF001ATP.bigWig	hg19				archived	s3://encode-public/2012/07/12/f35dcbbd-1fca-4477-81cf-383a18de8ad7/ENCFF001ATP.bigWig	low read depth		insufficient read length	
ENCFF001ATQ	bigWig	signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				1							ENCFF001ATR	299085790	John Stamatoyannopoulos, UW	ee4ad5dd0e4417e9573ade5c106591ea		https://www.encodeproject.org/files/ENCFF001ATQ/@@download/ENCFF001ATQ.bigWig	hg19				archived	s3://encode-public/2012/07/12/03269897-de3b-4099-980d-ff40623aa417/ENCFF001ATQ.bigWig	low read depth		insufficient read length	
ENCFF001CTK	bigWig	raw signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				2							ENCFF001CTI	123033733	John Stamatoyannopoulos, UW	1064dfb6c8ef25d3821a6e8d0717efef		https://www.encodeproject.org/files/ENCFF001CTK/@@download/ENCFF001CTK.bigWig	hg19				archived	s3://encode-public/2011/01/11/c32d5452-f6ab-494a-be98-29fbe1132022/ENCFF001CTK.bigWig	low read depth		insufficient read length	
ENCFF001CTJ	bigWig	raw signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				1							ENCFF001CTE	129667431	John Stamatoyannopoulos, UW	451fbaef204c713cc8e13840c77be1ee		https://www.encodeproject.org/files/ENCFF001CTJ/@@download/ENCFF001CTJ.bigWig	hg19				archived	s3://encode-public/2011/01/11/d7870106-e149-46bd-ba0b-d1921cf16147/ENCFF001CTJ.bigWig	low read depth		insufficient read length	
ENCFF617HEH	bigWig	read-depth normalized signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				1							ENCFF811YPN	659716250	ENCODE Processing Pipeline	a3b1a3f68d57ea7401e48311bd0f02d9		https://www.encodeproject.org/files/ENCFF617HEH/@@download/ENCFF617HEH.bigWig	GRCh38				released	s3://encode-public/2017/09/25/3e4dd4e4-0f95-43c2-9b97-471c93ab146c/ENCFF617HEH.bigWig	low read depth		insufficient read length	
ENCFF146SXL	bigWig	read-depth normalized signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				2							ENCFF609XGK	532742980	ENCODE Processing Pipeline	eba0ada15f3878f2a4fb3e6a6ee61af2		https://www.encodeproject.org/files/ENCFF146SXL/@@download/ENCFF146SXL.bigWig	GRCh38				released	s3://encode-public/2017/09/25/f2b81453-ca56-4c26-a022-dbdc43c84b6b/ENCFF146SXL.bigWig	low read depth		insufficient read length	
ENCFF529JFV	bigWig	read-depth normalized signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				1							ENCFF582JWR	657089878	ENCODE Processing Pipeline	18255a0a58f631c149e0bdba19c27017		https://www.encodeproject.org/files/ENCFF529JFV/@@download/ENCFF529JFV.bigWig	hg19				released	s3://encode-public/2017/09/27/c99da5c8-654a-446b-8fac-1f585c1309d2/ENCFF529JFV.bigWig	low read depth		insufficient read length	
ENCFF709PEX	bigWig	read-depth normalized signal	ENCSR000EMQ	DNase-seq	EFO:0002783	GM06990	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-07	ENCODE				2							ENCFF055YVL	531817891	ENCODE Processing Pipeline	e3c95b1f642a5a9af5243d9febd3350f		https://www.encodeproject.org/files/ENCFF709PEX/@@download/ENCFF709PEX.bigWig	hg19				released	s3://encode-public/2017/09/27/7762c281-a551-4677-ac18-9957f3ad8add/ENCFF709PEX.bigWig	low read depth		insufficient read length	
ENCFF343DFM	bigWig	read-depth normalized signal	ENCSR083FBK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF204MVL	598225494	ENCODE Processing Pipeline	9dfe741bf88b3776887c538770c334a3		https://www.encodeproject.org/files/ENCFF343DFM/@@download/ENCFF343DFM.bigWig	GRCh38				released	s3://encode-public/2017/09/18/8bf5b399-de7e-4fef-aeea-4c821502c748/ENCFF343DFM.bigWig	low read depth			
ENCFF926XQO	bigWig	read-depth normalized signal	ENCSR083FBK	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF031UYH	601578884	ENCODE Processing Pipeline	b6ad11532b48ac2f761966ea1d5ad3d7		https://www.encodeproject.org/files/ENCFF926XQO/@@download/ENCFF926XQO.bigWig	hg19				released	s3://encode-public/2017/09/19/58440743-a944-431a-add1-586d5e21670f/ENCFF926XQO.bigWig	low read depth			
ENCFF354FAY	bigWig	read-depth normalized signal	ENCSR550UWM	DNase-seq	UBERON:0005270	renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF664ORR	544125903	ENCODE Processing Pipeline	07e813b2b09668e763d1f8b5e6fb35fb		https://www.encodeproject.org/files/ENCFF354FAY/@@download/ENCFF354FAY.bigWig	GRCh38				released	s3://encode-public/2017/09/18/ef570ac3-5e1c-470a-9dfe-a86e34c8ff8a/ENCFF354FAY.bigWig	low read depth			
ENCFF322AJO	bigWig	read-depth normalized signal	ENCSR550UWM	DNase-seq	UBERON:0005270	renal cortex interstitium	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF407QKX	543892385	ENCODE Processing Pipeline	b51ca675cd606d2194b02a6fa2de710a		https://www.encodeproject.org/files/ENCFF322AJO/@@download/ENCFF322AJO.bigWig	hg19				released	s3://encode-public/2017/09/19/f2217864-b5cc-40c5-a679-0a2d885ecdb3/ENCFF322AJO.bigWig	low read depth			
ENCFF468WHL	bigWig	read-depth normalized signal	ENCSR258IBL	DNase-seq	UBERON:0018115	left renal pelvis	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF493TLS	581486091	ENCODE Processing Pipeline	2ccd16e6df4510e38adba44f5b644712		https://www.encodeproject.org/files/ENCFF468WHL/@@download/ENCFF468WHL.bigWig	GRCh38				released	s3://encode-public/2017/09/18/ef9862a9-31ec-4982-a462-6f3336e25771/ENCFF468WHL.bigWig	low read depth			
ENCFF790YOE	bigWig	read-depth normalized signal	ENCSR258IBL	DNase-seq	UBERON:0018115	left renal pelvis	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF118IJL	579336689	ENCODE Processing Pipeline	af91004f625debae80bc11a6426ecf59		https://www.encodeproject.org/files/ENCFF790YOE/@@download/ENCFF790YOE.bigWig	hg19				released	s3://encode-public/2017/09/19/6fca3b89-942e-4577-8565-ace3a69047a7/ENCFF790YOE.bigWig	low read depth			
ENCFF000SJG	bigWig	base overlap signal	ENCSR000EIX	DNase-seq	NTR:0000485	AG20443	cell line	Homo sapiens											DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF000SJE, ENCFF000SJH, ENCFF000SJI	1773902141	Gregory Crawford, Duke	53655ac78820e88b76da443449d39ce9		https://www.encodeproject.org/files/ENCFF000SJG/@@download/ENCFF000SJG.bigWig	hg19				archived	s3://encode-public/2011/01/11/554c5de1-eaa5-4e27-8c0e-33c53d0bab6d/ENCFF000SJG.bigWig	mixed read lengths, low spot score	NTR biosample		
ENCFF000SJM	bigWig	signal	ENCSR000EIX	DNase-seq	NTR:0000485	AG20443	cell line	Homo sapiens											DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF000SJE, ENCFF000SJH, ENCFF000SJI	3373062110	Gregory Crawford, Duke	1e2e02506931cc000350425c4bff3e1e		https://www.encodeproject.org/files/ENCFF000SJM/@@download/ENCFF000SJM.bigWig	hg19				archived	s3://encode-public/2011/01/11/b62c05a5-13c8-41ff-848b-9ae40f9cd78a/ENCFF000SJM.bigWig	mixed read lengths, low spot score	NTR biosample		
ENCFF568LMQ	bigWig	read-depth normalized signal	ENCSR000EIX	DNase-seq	NTR:0000485	AG20443	cell line	Homo sapiens											DNA		see document	see document		False	2012-03-28	ENCODE				1							ENCFF114GWU	789009457	ENCODE Processing Pipeline	98e4dee94902e9c5f9ec86a6e6a23239		https://www.encodeproject.org/files/ENCFF568LMQ/@@download/ENCFF568LMQ.bigWig	GRCh38				released	s3://encode-public/2017/09/25/14d2dba5-8eda-49d9-840f-3aac9d1c03f5/ENCFF568LMQ.bigWig	mixed read lengths, low spot score	NTR biosample		
